@RELATION banking_fraud

@ATTRIBUTE age NUMERIC
@ATTRIBUTE gender {Female,Male}
@ATTRIBUTE occupation {Business,Retired,Salaried,Self_Employed,Student}
@ATTRIBUTE account_type {Current,Savings}
@ATTRIBUTE account_balance NUMERIC
@ATTRIBUTE transaction_type {Cash_Withdrawal,Deposit,Payment,Transfer}
@ATTRIBUTE payment_method {Card,Cash,Net_Banking,UPI,Wallet}
@ATTRIBUTE channel {ATM,Branch,Mobile,Web}
@ATTRIBUTE amount NUMERIC
@ATTRIBUTE transaction_hour NUMERIC
@ATTRIBUTE age_band {Adult,Elderly,Middle_Aged,Senior,Young}
@ATTRIBUTE fraud {0,1}

@DATA
64,Male,Student,Savings,13810.88,Payment,Card,Branch,476.07,8,Senior,0
68,Male,Salaried,Savings,20170.05,Deposit,UPI,Mobile,317.11,11,Elderly,0
61,Male,Salaried,Savings,22214.79,Cash_Withdrawal,Cash,Web,2010.11,19,Senior,0
72,Male,Salaried,Savings,26010.33,Payment,UPI,Web,465.63,6,Elderly,0
69,Female,Salaried,Savings,27975.9,Cash_Withdrawal,UPI,Branch,113.79,20,Elderly,0
74,Female,Salaried,Current,72249.48,Payment,Cash,Branch,210.31,3,Elderly,0
20,Male,Salaried,Savings,19595.03,Cash_Withdrawal,UPI,Branch,363.53,22,Young,0
54,Female,Business,Savings,17416.03,Transfer,Cash,Branch,1535.87,2,Senior,0
68,Female,Business,Savings,9218.62,Cash_Withdrawal,Wallet,ATM,1009.67,0,Elderly,0
24,Male,Retired,Savings,22491.95,Payment,Net_Banking,Web,2815.35,6,Young,0
38,Female,Salaried,Savings,33022.92,Transfer,UPI,Mobile,442.66,8,Middle_Aged,0
26,Male,Self_Employed,Savings,6773.16,Deposit,Net_Banking,Web,792.86,1,Adult,0
56,Male,Self_Employed,Savings,20456.52,Cash_Withdrawal,UPI,Branch,6293.88,6,Senior,0
35,Female,Business,Savings,68066.15,Deposit,Cash,ATM,779.63,9,Adult,0
21,Male,Salaried,Savings,45190.62,Payment,UPI,Mobile,1372.59,1,Young,1
42,Male,Self_Employed,Savings,36270.01,Transfer,UPI,Web,568.9,12,Middle_Aged,0
31,Male,Salaried,Savings,44221.65,Deposit,Wallet,Mobile,875.2,2,Adult,0
67,Male,Salaried,Savings,17001.16,Transfer,Card,Mobile,1763.87,12,Elderly,0
26,Male,Salaried,Savings,15282.51,Transfer,Net_Banking,ATM,2115.6,9,Adult,0
43,Male,Business,Savings,74423.5,Cash_Withdrawal,Card,ATM,1234.14,11,Middle_Aged,0
70,Male,Student,Savings,52203.85,Cash_Withdrawal,Net_Banking,Web,845.7,2,Elderly,0
19,Male,Retired,Current,14808.87,Payment,Wallet,Mobile,1249.13,19,Young,0
37,Female,Business,Savings,5985.06,Payment,Card,ATM,525.25,5,Middle_Aged,0
45,Female,Salaried,Savings,15056.84,Deposit,Card,Branch,884.04,2,Middle_Aged,0
64,Female,Retired,Savings,41557.25,Payment,Cash,Web,1528.95,1,Senior,0
24,Male,Salaried,Savings,15889.15,Cash_Withdrawal,Net_Banking,Mobile,2942.43,22,Young,0
61,Male,Retired,Savings,35033.3,Transfer,UPI,Mobile,440.75,21,Senior,0
25,Female,Salaried,Current,83768.85,Transfer,Cash,Web,918.55,13,Young,0
64,Female,Student,Savings,24973.69,Deposit,UPI,Mobile,401.38,14,Senior,0
52,Female,Self_Employed,Current,32440.67,Transfer,UPI,Web,703.14,17,Senior,0
31,Male,Business,Current,46533.28,Payment,UPI,Web,2982.46,18,Adult,0
34,Female,Self_Employed,Savings,11320.07,Payment,Cash,ATM,641.28,21,Adult,0
53,Female,Retired,Savings,14495.02,Cash_Withdrawal,Net_Banking,Branch,996.26,9,Senior,0
67,Male,Self_Employed,Savings,48094.78,Deposit,Card,Mobile,318.37,19,Elderly,0
57,Female,Business,Savings,27710.7,Payment,Card,Mobile,625.71,16,Senior,0
21,Male,Self_Employed,Current,29655.62,Deposit,Cash,Branch,233.14,16,Young,0
19,Male,Business,Savings,27629.21,Payment,Card,Mobile,1449.15,18,Young,0
23,Male,Salaried,Current,58843.41,Deposit,Net_Banking,Web,1584.61,23,Young,0
71,Female,Self_Employed,Savings,38122.89,Deposit,Card,Web,1535.93,3,Elderly,0
59,Female,Salaried,Current,38524.75,Cash_Withdrawal,UPI,ATM,1637.79,10,Senior,0
21,Male,Business,Current,71521.87,Payment,UPI,Branch,1538.73,16,Young,0
71,Female,Self_Employed,Savings,97271.28,Payment,Net_Banking,Mobile,238.34,23,Elderly,0
46,Female,Business,Savings,161922.54,Deposit,Wallet,Mobile,498.8,9,Middle_Aged,0
35,Female,Business,Savings,16929.1,Payment,UPI,Branch,116.31,21,Adult,0
43,Female,Self_Employed,Current,193983.02,Deposit,UPI,Mobile,689.82,16,Middle_Aged,0
61,Male,Salaried,Current,11187.83,Cash_Withdrawal,Card,Web,459.1,11,Senior,0
51,Female,Self_Employed,Current,126525.34,Payment,Cash,Web,1055.02,9,Senior,0
27,Male,Salaried,Savings,16201.06,Transfer,Cash,Mobile,12828.99,9,Adult,0
53,Male,Salaried,Savings,25459.6,Deposit,Wallet,ATM,2397.73,5,Senior,0
31,Female,Salaried,Current,27305.97,Deposit,Net_Banking,ATM,5062.32,16,Adult,0
48,Male,Salaried,Savings,13445.82,Payment,Net_Banking,Branch,2493.43,18,Middle_Aged,0
65,Female,Salaried,Current,28835.86,Payment,Card,Mobile,992.2,1,Senior,0
32,Female,Self_Employed,Savings,14012.84,Payment,UPI,Mobile,1086.05,3,Adult,1
25,Male,Salaried,Savings,10017.06,Cash_Withdrawal,Cash,Mobile,2603.43,17,Young,0
31,Male,Salaried,Savings,26082.53,Payment,Card,Mobile,1405.78,20,Adult,0
40,Male,Student,Savings,95980.61,Cash_Withdrawal,UPI,Web,822.25,3,Middle_Aged,0
74,Male,Salaried,Savings,21955.75,Payment,UPI,Branch,4566.33,5,Elderly,0
57,Female,Business,Savings,57114.7,Cash_Withdrawal,Card,Mobile,1710.82,13,Senior,0
38,Female,Student,Savings,13676.95,Deposit,Card,Mobile,263.7,6,Middle_Aged,0
33,Female,Salaried,Savings,9635.59,Transfer,Card,Web,915.65,11,Adult,0
62,Male,Salaried,Savings,38680.39,Payment,UPI,Mobile,1153.13,1,Senior,1
35,Male,Student,Savings,109588.74,Payment,Card,Branch,731.89,17,Adult,0
64,Male,Salaried,Current,31798.16,Deposit,UPI,Mobile,746.08,23,Senior,0
70,Female,Salaried,Savings,52120.73,Transfer,Cash,Mobile,722.5,12,Elderly,0
41,Male,Business,Current,88974.01,Payment,Card,Branch,184.07,12,Middle_Aged,0
43,Female,Self_Employed,Savings,26128.34,Cash_Withdrawal,Net_Banking,Mobile,154.08,4,Middle_Aged,0
42,Male,Salaried,Savings,23821.63,Payment,Net_Banking,Mobile,570.55,6,Middle_Aged,0
62,Female,Retired,Savings,39248.59,Payment,Cash,ATM,734.73,11,Senior,0
58,Female,Salaried,Savings,45252.59,Cash_Withdrawal,Cash,Branch,287.35,13,Senior,0
46,Male,Salaried,Savings,8785.17,Cash_Withdrawal,Card,Web,393.77,0,Middle_Aged,0
32,Male,Retired,Savings,34083.9,Deposit,UPI,Mobile,851.39,23,Adult,0
62,Female,Salaried,Savings,26888.52,Cash_Withdrawal,Cash,Web,3074.99,9,Senior,0
18,Female,Retired,Savings,14305.29,Transfer,Card,Mobile,2879.29,8,Young,0
42,Male,Student,Savings,25441.87,Payment,Card,Mobile,2977.44,9,Middle_Aged,0
24,Male,Salaried,Savings,10590.79,Transfer,Card,Web,399.29,6,Young,0
26,Female,Student,Savings,8032.55,Cash_Withdrawal,Net_Banking,Web,878.06,15,Adult,0
41,Male,Business,Savings,28381.1,Transfer,UPI,Mobile,3773.07,11,Middle_Aged,1
18,Female,Business,Savings,55362.71,Payment,UPI,ATM,187.79,11,Young,0
61,Female,Business,Savings,20377.11,Payment,Wallet,ATM,692.67,18,Senior,0
25,Male,Salaried,Savings,12474.19,Cash_Withdrawal,Net_Banking,Web,1369.45,12,Young,0
41,Male,Salaried,Current,14125.84,Payment,UPI,Web,199.31,20,Middle_Aged,0
28,Male,Student,Current,41737.51,Payment,Net_Banking,Web,1683.89,17,Adult,0
68,Male,Salaried,Savings,102120.44,Transfer,UPI,Web,5151.24,2,Elderly,1
34,Male,Self_Employed,Savings,49829.62,Deposit,Cash,Web,3731.57,6,Adult,0
25,Female,Salaried,Savings,76163.19,Cash_Withdrawal,Card,Branch,918.04,0,Young,0
52,Female,Self_Employed,Savings,11636.49,Payment,Card,ATM,2475.99,2,Senior,0
52,Male,Self_Employed,Savings,25358.17,Transfer,Cash,Mobile,197.09,20,Senior,0
50,Male,Salaried,Savings,60776.15,Payment,UPI,Mobile,1448.6,13,Middle_Aged,0
22,Male,Business,Savings,8783.74,Payment,UPI,Mobile,808.62,3,Young,1
59,Female,Student,Savings,15887.71,Deposit,Cash,Web,944.41,18,Senior,0
56,Male,Student,Savings,57160.33,Transfer,UPI,Branch,1216.62,21,Senior,0
58,Male,Student,Savings,33081.87,Cash_Withdrawal,Wallet,Mobile,1615.87,5,Senior,0
45,Female,Business,Savings,12430.54,Deposit,Card,Branch,256.7,19,Middle_Aged,0
24,Female,Salaried,Savings,7297.91,Payment,UPI,Mobile,411.39,8,Young,0
26,Male,Salaried,Savings,78421.4,Transfer,Cash,Mobile,848.73,10,Adult,0
25,Male,Salaried,Savings,5204.57,Deposit,UPI,Web,185.18,21,Young,0
29,Male,Salaried,Savings,44619.05,Payment,UPI,Mobile,1257.96,14,Adult,0
51,Female,Business,Savings,17563.26,Deposit,Card,Mobile,2521.77,8,Senior,0
50,Male,Self_Employed,Savings,62171.67,Transfer,Wallet,Mobile,4412.26,10,Middle_Aged,0
65,Male,Student,Current,11687.57,Transfer,Card,Branch,1207.64,9,Senior,0
72,Male,Salaried,Savings,217910.38,Deposit,UPI,Web,7232.83,1,Elderly,0
40,Female,Business,Current,37117.32,Payment,Card,Mobile,1058.87,21,Middle_Aged,0
41,Female,Salaried,Savings,42347.11,Payment,UPI,ATM,312.07,13,Middle_Aged,0
54,Male,Business,Savings,14495.05,Transfer,UPI,Branch,1036.96,3,Senior,0
52,Male,Salaried,Savings,24180.35,Transfer,Net_Banking,Mobile,892.77,1,Senior,0
61,Female,Salaried,Savings,24687.21,Cash_Withdrawal,Wallet,Branch,1837.49,4,Senior,0
57,Female,Salaried,Savings,113193.57,Deposit,UPI,Mobile,1437.45,13,Senior,0
39,Female,Salaried,Savings,37066.22,Transfer,Card,Web,1338.46,14,Middle_Aged,0
44,Female,Business,Current,41567.08,Payment,Wallet,Web,2883.93,18,Middle_Aged,0
52,Female,Salaried,Current,41196.93,Payment,UPI,Mobile,713.4,5,Senior,0
18,Female,Self_Employed,Savings,44484.17,Deposit,UPI,Web,1879.43,14,Young,0
52,Female,Self_Employed,Savings,8852.34,Transfer,Net_Banking,Mobile,1452.25,13,Senior,0
54,Female,Salaried,Savings,138609.3,Cash_Withdrawal,Cash,Web,1228.99,7,Senior,0
64,Female,Self_Employed,Savings,13333.16,Cash_Withdrawal,UPI,Web,1026.9,19,Senior,0
31,Male,Salaried,Current,26089.2,Transfer,Card,ATM,307.58,11,Adult,0
20,Male,Salaried,Current,91599.98,Transfer,UPI,Web,850.72,3,Young,1
18,Male,Business,Current,126462.39,Deposit,Card,ATM,907.06,20,Young,0
22,Female,Salaried,Savings,51264.99,Transfer,Net_Banking,ATM,532.34,5,Young,0
43,Male,Business,Savings,17966.14,Payment,Card,Web,282.06,10,Middle_Aged,0
72,Female,Salaried,Savings,29797.73,Deposit,Cash,ATM,628.59,22,Elderly,0
31,Female,Business,Current,30747.8,Payment,UPI,Mobile,683.05,21,Adult,0
56,Male,Self_Employed,Savings,31631.61,Cash_Withdrawal,UPI,Mobile,287.06,6,Senior,0
44,Female,Self_Employed,Savings,10056.33,Transfer,UPI,Mobile,286.76,3,Middle_Aged,1
26,Male,Business,Savings,73724.29,Payment,Net_Banking,ATM,135.38,14,Adult,0
32,Male,Business,Current,29961.58,Transfer,Cash,Mobile,1473.02,0,Adult,0
32,Male,Salaried,Savings,15096.6,Payment,UPI,Web,2916.2,8,Adult,0
43,Female,Business,Savings,18056.94,Cash_Withdrawal,Card,Web,1114.43,22,Middle_Aged,0
59,Male,Salaried,Current,33385.6,Transfer,Net_Banking,Branch,731.93,19,Senior,0
30,Female,Salaried,Current,8757.58,Transfer,Card,ATM,273.14,7,Adult,0
68,Male,Salaried,Savings,54325.45,Transfer,UPI,Web,120.92,11,Elderly,0
49,Male,Retired,Savings,32460.66,Payment,UPI,Web,1061.06,6,Middle_Aged,0
56,Male,Salaried,Current,94141.26,Payment,UPI,Mobile,2029.75,17,Senior,0
66,Female,Salaried,Current,28625.89,Payment,Net_Banking,Web,477.04,0,Elderly,0
69,Female,Salaried,Savings,11291.28,Deposit,Card,Web,3150.79,8,Elderly,0
49,Female,Business,Savings,10319.16,Transfer,Cash,Mobile,550.66,6,Middle_Aged,0
21,Male,Business,Savings,19681.52,Transfer,Net_Banking,Web,3245.41,13,Young,0
47,Male,Salaried,Current,21419.91,Transfer,Wallet,Mobile,502.3,0,Middle_Aged,0
54,Female,Salaried,Savings,17089.01,Payment,UPI,Mobile,76.48,12,Senior,0
40,Female,Self_Employed,Savings,29815.52,Cash_Withdrawal,UPI,Mobile,2051.56,19,Middle_Aged,0
56,Female,Salaried,Savings,16745.5,Deposit,Card,Branch,435.79,14,Senior,0
62,Female,Salaried,Current,32970.38,Transfer,UPI,Mobile,234.52,4,Senior,1
32,Female,Business,Savings,17738.3,Payment,Net_Banking,Mobile,1775.07,4,Adult,0
60,Female,Self_Employed,Savings,44594.37,Payment,Net_Banking,Web,450.62,13,Senior,0
46,Male,Student,Savings,20992.51,Deposit,Cash,Web,266.96,13,Middle_Aged,0
53,Female,Self_Employed,Savings,72908.85,Cash_Withdrawal,UPI,Web,4070.04,13,Senior,0
30,Male,Self_Employed,Savings,45335.05,Transfer,UPI,ATM,893.59,4,Adult,0
49,Male,Salaried,Savings,31409.58,Transfer,Card,Web,261.1,10,Middle_Aged,0
24,Female,Retired,Savings,22785.01,Payment,Net_Banking,Mobile,690.12,18,Young,0
68,Female,Self_Employed,Current,7980.79,Transfer,UPI,Mobile,9251.7,4,Elderly,1
39,Male,Self_Employed,Savings,83352.97,Deposit,UPI,Mobile,1227.04,3,Middle_Aged,1
45,Female,Business,Savings,15605.49,Deposit,UPI,Web,577.18,14,Middle_Aged,0
19,Female,Salaried,Savings,28928.59,Transfer,Wallet,Web,1810.53,20,Young,0
59,Male,Salaried,Savings,35420.41,Payment,Cash,Web,696.22,6,Senior,0
62,Male,Salaried,Savings,23229.79,Cash_Withdrawal,Net_Banking,Mobile,658.91,4,Senior,0
74,Male,Salaried,Current,79513.4,Deposit,Net_Banking,Mobile,568.86,14,Elderly,0
70,Female,Salaried,Savings,10126.42,Payment,Card,ATM,2575.89,13,Elderly,0
23,Male,Self_Employed,Savings,107704.63,Cash_Withdrawal,UPI,Branch,1332.42,23,Young,0
45,Female,Self_Employed,Current,46039.09,Payment,UPI,Mobile,4547.09,23,Middle_Aged,0
45,Male,Business,Savings,22089.63,Deposit,Card,Mobile,1490.53,2,Middle_Aged,0
61,Male,Self_Employed,Current,22288.27,Transfer,Net_Banking,Web,5052.31,4,Senior,1
61,Male,Self_Employed,Savings,4566.68,Cash_Withdrawal,UPI,ATM,2100.83,11,Senior,0
37,Female,Salaried,Savings,13648.89,Deposit,UPI,Branch,845.6,19,Middle_Aged,0
47,Female,Salaried,Savings,20269.59,Transfer,Card,Web,957.79,13,Middle_Aged,0
28,Male,Salaried,Savings,30973.4,Deposit,UPI,Web,6821.76,4,Adult,0
72,Male,Business,Savings,73693.14,Transfer,Cash,ATM,4039.26,23,Elderly,0
45,Male,Salaried,Savings,137315.5,Cash_Withdrawal,UPI,Mobile,5150.03,3,Middle_Aged,1
42,Female,Business,Savings,33450.22,Transfer,UPI,ATM,400.43,20,Middle_Aged,0
56,Male,Student,Current,31713.17,Payment,Card,Mobile,168.15,15,Senior,0
50,Female,Business,Savings,18173.48,Cash_Withdrawal,Card,Web,471.93,6,Middle_Aged,0
18,Male,Self_Employed,Current,6822.08,Cash_Withdrawal,Card,ATM,1293.99,2,Young,0
74,Male,Business,Savings,16570.36,Payment,UPI,Web,575.04,21,Elderly,0
44,Male,Retired,Savings,22824.71,Transfer,Net_Banking,Mobile,1127.11,3,Middle_Aged,0
74,Male,Self_Employed,Current,58707.08,Cash_Withdrawal,UPI,Web,698.4,19,Elderly,0
69,Male,Self_Employed,Savings,40766.32,Transfer,UPI,Mobile,187.79,21,Elderly,0
30,Male,Retired,Current,32120.06,Cash_Withdrawal,Cash,Mobile,1683.95,5,Adult,0
58,Female,Self_Employed,Savings,16904.92,Cash_Withdrawal,UPI,Mobile,1131.01,2,Senior,1
20,Male,Business,Savings,5509.93,Payment,Card,Branch,4143.73,0,Young,0
56,Female,Student,Savings,5782.52,Payment,Wallet,Mobile,1286.73,2,Senior,0
23,Male,Salaried,Savings,7108.25,Payment,Cash,Mobile,2398.62,23,Young,0
25,Male,Business,Savings,21298.56,Deposit,Cash,ATM,483.34,7,Young,0
44,Female,Salaried,Savings,59589.55,Cash_Withdrawal,Card,Mobile,1551.55,15,Middle_Aged,0
26,Male,Salaried,Savings,58317.21,Payment,UPI,Web,2461.63,21,Adult,0
54,Female,Retired,Savings,50765.52,Cash_Withdrawal,Card,Web,1912.88,6,Senior,0
50,Female,Self_Employed,Savings,17817.27,Transfer,UPI,Mobile,874.32,17,Middle_Aged,0
68,Male,Self_Employed,Savings,67198.79,Deposit,Wallet,Mobile,1556.9,8,Elderly,0
59,Female,Salaried,Savings,12773.7,Transfer,UPI,ATM,2044.17,2,Senior,0
61,Female,Student,Current,53247.96,Deposit,Card,Branch,3646.01,17,Senior,0
41,Male,Student,Current,7046.87,Deposit,Net_Banking,Mobile,625.71,15,Middle_Aged,0
32,Female,Salaried,Savings,10491.39,Payment,Net_Banking,Web,358.95,20,Adult,0
71,Male,Student,Current,100920.87,Transfer,Wallet,Web,477.56,0,Elderly,1
49,Male,Student,Savings,22855.16,Cash_Withdrawal,Cash,Branch,1268.26,20,Middle_Aged,0
49,Male,Self_Employed,Current,15603.09,Payment,UPI,Branch,1101.46,19,Middle_Aged,0
41,Male,Business,Savings,65004.19,Cash_Withdrawal,Net_Banking,ATM,2053.53,15,Middle_Aged,0
58,Female,Salaried,Savings,71246.24,Transfer,UPI,Branch,2516.88,11,Senior,0
69,Male,Salaried,Savings,19022.45,Transfer,UPI,Branch,166.47,5,Elderly,0
66,Male,Salaried,Savings,33616.45,Deposit,Cash,Mobile,677.85,20,Elderly,0
66,Female,Student,Savings,30017.2,Transfer,Cash,Web,1355.92,8,Elderly,0
69,Male,Retired,Savings,2802.64,Payment,Net_Banking,Web,3344.86,20,Elderly,0
29,Male,Salaried,Current,8807.09,Payment,Wallet,Web,1039.63,12,Adult,0
56,Female,Salaried,Savings,57171.08,Transfer,Net_Banking,Mobile,4296.05,23,Senior,0
19,Female,Salaried,Savings,13820.62,Cash_Withdrawal,UPI,Web,1903.37,11,Young,0
20,Female,Student,Savings,41104.39,Deposit,Cash,ATM,1604.83,12,Young,0
66,Female,Business,Savings,33204.22,Transfer,Net_Banking,Web,982.18,17,Elderly,0
54,Female,Business,Savings,71135.81,Deposit,Wallet,Branch,1069.97,18,Senior,0
66,Female,Business,Savings,9035.95,Transfer,Card,Web,1526.58,18,Elderly,0
73,Female,Salaried,Savings,36877.79,Transfer,UPI,Mobile,902.01,18,Elderly,0
34,Male,Business,Savings,25531.5,Cash_Withdrawal,Net_Banking,Web,3336.11,5,Adult,0
66,Female,Salaried,Savings,14302.37,Deposit,UPI,Mobile,2642.76,15,Elderly,0
19,Female,Self_Employed,Current,14222.25,Transfer,Card,Web,3633.66,6,Young,0
19,Female,Salaried,Current,32272.95,Deposit,Card,Web,387.65,6,Young,0
45,Male,Salaried,Savings,44521.88,Payment,Card,ATM,375.12,22,Middle_Aged,0
71,Male,Business,Savings,28307.36,Transfer,Cash,ATM,1786.3,18,Elderly,0
40,Female,Business,Savings,29020.9,Payment,Card,Web,1011.7,15,Middle_Aged,0
54,Female,Salaried,Savings,18055.48,Payment,Cash,Mobile,1420.61,16,Senior,0
49,Female,Salaried,Savings,19039.12,Payment,UPI,Branch,358.73,21,Middle_Aged,0
50,Male,Salaried,Savings,14271.56,Cash_Withdrawal,UPI,Mobile,255.2,18,Middle_Aged,0
18,Male,Self_Employed,Current,17767.37,Payment,UPI,ATM,1383.79,15,Young,0
36,Female,Salaried,Savings,43292.75,Cash_Withdrawal,Cash,Web,512.92,15,Middle_Aged,0
19,Male,Retired,Savings,47340.64,Cash_Withdrawal,UPI,Web,2239.72,18,Young,0
70,Female,Salaried,Savings,9694.36,Transfer,Cash,Mobile,592.66,14,Elderly,0
61,Male,Retired,Savings,13132.57,Cash_Withdrawal,Cash,Web,451.48,2,Senior,0
43,Male,Self_Employed,Savings,15240.04,Cash_Withdrawal,Cash,Mobile,113.68,14,Middle_Aged,0
49,Female,Salaried,Savings,25559.66,Deposit,Cash,Web,3818.25,15,Middle_Aged,0
23,Female,Self_Employed,Savings,6998.69,Deposit,Card,ATM,2202.95,19,Young,0
49,Female,Student,Savings,13318.03,Payment,Card,Mobile,245.75,4,Middle_Aged,0
72,Female,Self_Employed,Savings,8879.8,Cash_Withdrawal,Card,Mobile,148.79,18,Elderly,0
21,Male,Business,Savings,37063.42,Transfer,UPI,ATM,603.61,9,Young,0
72,Male,Student,Savings,26272.03,Payment,Net_Banking,Mobile,2827.99,12,Elderly,0
28,Male,Business,Savings,18582.25,Transfer,Net_Banking,ATM,647.37,14,Adult,0
73,Female,Retired,Savings,11491.68,Transfer,UPI,Branch,891.48,11,Elderly,0
34,Male,Student,Current,18813.37,Payment,Card,Mobile,2953.03,16,Adult,0
55,Female,Salaried,Savings,17124.17,Cash_Withdrawal,Net_Banking,Mobile,408.19,14,Senior,0
41,Male,Business,Current,99482.12,Transfer,UPI,Web,554.4,3,Middle_Aged,1
22,Female,Self_Employed,Current,59731.56,Payment,Cash,Mobile,1365.92,14,Young,0
69,Female,Salaried,Savings,15482.0,Payment,UPI,Mobile,828.66,16,Elderly,0
51,Male,Salaried,Savings,30704.25,Transfer,Card,Mobile,456.14,10,Senior,0
23,Female,Student,Current,57260.53,Cash_Withdrawal,Net_Banking,Mobile,2224.42,22,Young,0
39,Female,Business,Savings,15478.21,Payment,Card,Mobile,1840.58,22,Middle_Aged,0
28,Male,Salaried,Savings,8658.63,Cash_Withdrawal,Cash,Mobile,2520.41,14,Adult,0
65,Female,Retired,Current,6390.15,Deposit,Net_Banking,Branch,940.77,19,Senior,0
33,Female,Student,Savings,74444.83,Deposit,Cash,ATM,188.5,20,Adult,0
50,Female,Business,Savings,23089.89,Transfer,Cash,ATM,1108.49,6,Middle_Aged,0
26,Male,Student,Savings,33964.13,Payment,Card,Mobile,339.75,12,Adult,0
23,Male,Salaried,Current,16993.91,Payment,Cash,Mobile,144.47,21,Young,0
33,Female,Salaried,Savings,9756.42,Payment,Net_Banking,Mobile,833.21,12,Adult,0
46,Male,Salaried,Savings,11327.17,Cash_Withdrawal,Wallet,Web,1214.11,19,Middle_Aged,0
20,Female,Business,Current,9201.96,Transfer,Net_Banking,Branch,5422.31,19,Young,0
37,Female,Self_Employed,Savings,53103.36,Payment,Cash,Web,328.45,1,Middle_Aged,0
